Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name, ERC20 most sent token type,ERC20_most_rec_token_type,FLAG
12690.070623,13307.30072,18793.184816,5.575851,11.009196,37.23961,318.129571,0.112942,315.565477,4.892787,0.894355,77.425,9300.713933,900.242327,1.268883,3396.350437,3.6291,215.222994,1658.55189,133367468.112448,32652545883.636494,1977.523628,2100.288825,312.640617,0.0,6.984762,0.0,0.0,0.0,0.0,19.23598,3388138.852591,733686.625665,4850.119742,1642171511.283098,1102072403.818982,0.0,0.0,0.0,911.674914,0.29609,0.0,0.0,0
224.633811,106964.1179,815779.966437,100.537963,3.756614,0.014649,11.948454,185.235531,311.900551,15857.450228,131240.665231,0.216944,30.869852,3.288972,25182.50526,635.494505,10029.119324,1366.293335,7575.022273,2453402400.468354,8355477.499968,6248.052147,3.283525,24.880705,0.0,3.944517,0.0,0.0,0.0,0.0,365148.89012,4143034.700318,710826.796579,10607.547081,156763.763959,41133874.386393,0.0,0.0,0.0,0.065577,2.975902,0.0,0.0,0
48328.536071,114.756954,200375.221435,2.041389,444.026553,1.802834,2973.375663,68.283235,159.188259,1.199985,22050.080441,200.294304,122.683246,31.391253,10049.470113,27611.851915,68477.537288,624.134817,0.777183,1088510519813.6263,3152111.490107,25.285079,0.800698,22.903699,0.0,0.729061,0.0,0.0,0.0,0.0,54.697789,17340578.418249,4346172.391858,38208.254242,365705203.818864,1710894.137508,0.0,0.0,0.0,0.012321,24.597639,0.0,0.0,0
85486.866578,3516.459525,89903.710363,13.553706,259.320652,0.140356,1.472027,3.873322,7000.229527,65589.665234,8.382384,0.01586,111.713855,2.369466,141.944036,63545.085581,130.170253,5147.130075,347.352787,808110591.196163,422925.642864,76.942866,0.043502,57.571477,0.0,1.933642,0.0,0.0,0.0,0.0,1.283222,19990568.013755,2448166393.91473,166589.123709,14208547.213878,12062509.126567,0.0,0.0,0.0,12.9617,585.133264,0.0,0.0,0
14.604334,87422.145614,150664.599461,55.709668,0.206875,19916.261623,0.196302,0.805113,13.717671,242.870584,12287.246817,29.462986,5.746609,23.129697,1107.334108,43479.890453,106713.021262,7513.73796,100.611691,418164906.732322,5903591.818193,138.583281,2.331435,1.024377,0.0,11.006079,0.0,0.0,0.0,0.0,2665.163867,3031909991.475978,7480720554.147147,471850.906796,29639770.023712,518057.568823,0.0,0.0,0.0,2.85183,1.472048,0.0,0.0,0
102.297513,9671.646183,1011751.117354,32.690081,3.294425,0.182135,0.093197,71.206905,14.243695,1580.695029,3.195565,78.673592,30.278671,649.045297,49947.594297,67.857642,7649.107507,2115.156317,8.947572,449680511.269014,5597966.972056,1685.734267,76.310134,1.036829,0.0,0.48565,0.0,0.0,0.0,0.0,195.735887,1585620.272303,1238077.912141,257252.264138,7042871.226524,43307969.395612,0.0,0.0,0.0,0.025177,0.320064,0.0,0.0,0
7464.734148,550491.915797,643903.876128,1026.028248,351.989005,0.041445,330.063814,6.334884,6.065331,12655.20066,13.342941,0.171576,11.594228,18329.452626,387.067647,28599.662043,143.129274,8542.733038,13089.18813,8276455.450357,6057855.41902,295.776651,16.207656,0.564687,0.0,88.968843,0.0,0.0,0.0,0.0,15.982153,30734810.546279,959508.660871,57598.425515,878176.989589,6073280.059362,0.0,0.0,0.0,0.378605,1.53928,0.0,0.0,0
1969.817366,85.110879,180696.741107,12.6701,131.814287,0.000909,3.76689,276.821713,66070.599473,85.829794,103.641678,56.841402,13.516032,400.280806,916.357954,230942.281372,19228.425902,38248.210371,8.490925,627892856.123628,39700425.445709,12.832294,207.641601,32.649694,0.0,0.201221,0.0,0.0,0.0,0.0,321.366943,21767329.463705,12764289.22,1097.188119,17362993.220225,703473.130583,0.0,0.0,0.0,42.549507,65.901234,0.0,0.0,0
4836.857027,61.254235,40497.841863,0.070143,49.167868,0.165223,19.952151,4.583791,4371.818544,3154.912576,7.261725,2.745694,223.070729,1.040117,657.442847,13054.760738,191.823228,21.589659,1.987167,73440195.929076,863618.343352,105.516167,5.71013,0.015867,0.0,0.831224,0.0,0.0,0.0,0.0,5021.810672,18762102530.68675,195233045.847557,1052.015984,141182.888853,433858.946022,0.0,0.0,0.0,0.094265,44.288401,0.0,0.0,0
393.583051,73647.358667,44952.810435,0.737425,1007.341223,5.348814,810.427297,7.205084,7.167131,24.270492,619.275371,0.169452,3430.076561,32.113671,26.053456,46307.043434,19359.091785,48.466107,76.158512,276384900.082828,294790.209419,4472.647124,40.065482,2.094353,0.0,2.068524,0.0,0.0,0.0,0.0,614.991083,1396831055.511691,648598.784662,420.667224,26105.714146,12162351.425799,0.0,0.0,0.0,0.089153,602.101388,0.0,0.0,0
71155.137767,97167.155709,664993.315894,109.867308,2.157471,96.551612,81.505299,718.424447,1.18031,76.499659,3054.704644,0.193852,88484.855952,409.454201,97.037609,506800.704055,113624.404714,129.204676,3.135632,36353749.217738,2238733.750006,46.673518,41.989172,0.095241,0.0,2.33386,0.0,0.0,0.0,0.0,1.479832,739601092.705782,1730936.468906,180068.379176,20066999.074569,238366725.482927,0.0,0.0,0.0,209.597561,25.773565,0.0,0.0,0
52459.65584,4585.305756,32989.964811,19.93183,27.469063,0.149242,0.865959,1.182148,24.150338,1944.772309,1.424799,3.29783,1668.543269,0.004264,8545.712312,413.071022,30133290.453461,93.904662,2964.961464,3181416220.261123,458812.105894,103.231211,0.052465,0.326542,0.0,0.415117,0.0,0.0,0.0,0.0,4738.478774,50712956.112281,10036219.877384,1926.821283,124768.659294,299793820.328064,0.0,0.0,0.0,10.945145,34.845473,0.0,0.0,0
6201.31087,25393.916026,183326.508394,2.836902,774.445229,124.307661,3971.98963,0.327443,54.170039,1825.563335,143.699505,7.371838,49214.47683,113.873987,48.105657,6904.2424,41670.466025,8035.407186,0.05168,24183510.562294,215610332.57119,157.108846,31.539645,403.313125,0.0,929.467153,0.0,0.0,0.0,0.0,36769.069111,75139053183.15115,339169.416176,299.353495,40010605.257544,1450827.383856,0.0,0.0,0.0,103.777953,0.391463,0.0,0.0,0
149663.917244,68628.404605,11515035.489466,41277.867425,23.339575,3.056467,12.698166,1.561941,94.093159,1545.972188,5.162233,36.652021,8.925634,74.682728,5460.288839,389.672111,566.817381,115437.452301,11.785533,8473478.757893,15662109.934187,1.302864,69.278311,0.09841,0.0,0.225695,0.0,0.0,0.0,0.0,31.825337,777705116.8153,213675.213281,76195.382706,19109496.586831,736120.614003,0.0,0.0,0.0,0.338546,281.778804,0.0,0.0,0
20680.611823,766.013823,430835.807136,1392.670094,418.081199,0.862508,25.168948,53.301983,0.433169,44006.700332,229.623304,3.286113,62414.354797,26732.445047,180.109944,3872.930586,21.387029,35.237098,0.062149,4510819.629545,1620689.998876,249.78777,11.664836,11.008797,0.0,82.661361,0.0,0.0,0.0,0.0,94.48566,1060734846.83677,5047995.698001,0.829238,415655384.860108,14241530.539049,0.0,0.0,0.0,0.059651,360.702126,0.0,0.0,0
386.273821,1042.894919,654473.851123,97.265686,5.255875,6.214272,3.582167,7976.849597,4.765853,415.093799,246.331705,37.347968,121.782493,44.606884,102.695139,506.106759,57616.985727,10.802525,106.213637,118019410.032278,589208881.748683,122.94449,5.572465,5.775514,0.0,0.307419,0.0,0.0,0.0,0.0,71.53429,4995686.734526,1068733.26429,52702.01589,89688289.76763,2128335.478406,0.0,0.0,0.0,0.297057,25.362511,0.0,0.0,0
15377.739243,13833.46531,45454.862452,233.36867,13.825119,260.095492,1.06984,40.733302,1678.428016,65136.901714,14.890818,9.118453,247077.815073,3826.694713,66149.175046,12041.518805,1781.169134,1265.50676,929.510643,5971335.844266,1682902.852285,8034.062675,0.127916,4.239303,0.0,2.27507,0.0,0.0,0.0,0.0,330.537545,559218715.411985,9133344.949019,1875.671285,18149353.70849,5623930.352064,0.0,0.0,0.0,378.753078,1.855086,0.0,0.0,0
286.510758,108506.531645,35545.260557,52.316129,0.779925,4.313102,60.674426,1.88693,274.821408,626.981926,61.526284,5.091469,17.171494,20.863302,318.242931,1460993.728017,1.604925,1969.624696,151.872274,900401097.368061,61689801.673131,466.987846,6.037165,0.921983,0.0,17.57554,0.0,0.0,0.0,0.0,0.954286,2848477.472826,10938.566903,46.262361,71447902.222309,17064660.222434,0.0,0.0,0.0,473.125306,484.653921,0.0,0.0,0
70953.129532,277.552368,708441.480357,2.694687,0.341863,0.133127,0.402635,2.145845,5.385243,3195.554439,137.254166,0.099368,7820.036518,331.587832,4.541727,4422.093985,1508.8286,6.365426,971.985966,64881210.729498,21228414998.036648,1.223813,0.024411,0.7964,0.0,0.104767,0.0,0.0,0.0,0.0,52.342681,1770681.343749,5837819.863399,3116153.698525,8531704.058097,4986426.306686,0.0,0.0,0.0,0.025067,0.081686,0.0,0.0,0
4379.308673,4523.618124,143798.890987,2552.653306,39.259523,13.20714,23.693462,88.382422,797.711872,4716.093507,12.928843,0.244658,8.597851,122.549907,413.982308,15901.972261,247.990306,3654263.738223,0.725318,510562340.111531,11896038.522622,10968.050433,0.050078,0.695282,0.0,0.153309,0.0,0.0,0.0,0.0,212.214727,36905442.857889,5797802.958926,115305.256321,4517296.829653,5327.164076,0.0,0.0,0.0,2.920593,0.005597,0.0,0.0,0
366.40937551529265,496.4669608331466,454055.98042588745,11882.280893465851,5035.122560050826,12.588173,28190.04704216206,1.135247746676436,6556.9441665084505,916.8146402724489,0.662867,51.91493853690517,84.27518022023739,7428.464682,6.724474978267812,905088.530379,5219524.479434,458.854881,45.607696,129931659.27131,359186268.763736,478.324355,3.306194,16.325374,0.0,12.174166,0.0,0.0,0.0,0.0,1921.578847,119946924.093777,17762938.98547,703.228007,2225411.05295,11256985.622312,0.0,0.0,0.0,0.268473,5.727564,0.0,0.0,1
89.61104649726494,3629.1454824658413,125823.74718454937,2.2634336329939484,853.8846183009413,2.090713,2131.0703524662845,0.6713999759348233,254480.57714063348,7236.21440889399,1032.147629,207.81151239041372,1876464.8522085552,3002.319066,55293.371809006945,1113.443042,400.327082,63792.948142,31.616473,4552488775.087531,1142716.751861,0.17158,0.398693,8.267645,0.0,2.271417,0.0,0.0,0.0,0.0,488.865623,76364227.998048,36634.731541,103706.73878,244679795.356299,10801930.544799,0.0,0.0,0.0,6.480779,1.019678,0.0,0.0,1
199196.669118,7806.633918,42023742.435189,228.611774,5318.199849,79.278443,55.890096,46.489329,22.908471,6.703385,1009.626883,194.562713,24.134303,11.549522,2.114499,3174.423681,4030.424478,1531.494077,17.444687,108802743.902467,14005486.914127,81.029457,5.827833,0.498615,0.0,2567.696024,0.0,0.0,0.0,0.0,7962.803716,292158351.092188,289468.293401,585.250931,1184685.156775,2278408.697174,0.0,0.0,0.0,109.889688,643.038987,0.0,0.0,0
3199.773933,1658.825195,108575.699328,318.373247,50.382162,0.003852,1.126965,366.688582,5.801202,723.98347,878.799325,27.391653,662.871805,0.443866,31.018491,8749.64498,8345.880173,1384.531153,2.450834,11454649.035758,29742280.546658,9.740962,43.035437,1453.726471,0.0,7.171033,0.0,0.0,0.0,0.0,770.05516,382893925.585813,1186587520.548644,24594.710256,1646164.996569,1441157.9873,0.0,0.0,0.0,0.071422,0.447674,0.0,0.0,0
1407.317122,292960.906739,388215.267403,44.147401,0.282979,10.800064,25.338581,395.447137,28.022461,645.705162,5.122373,43.304707,9.330191,623.403866,64685.373514,2966.410727,18023.652004,2013.62535,198.724103,45149374.836972,19970750.719999,3.189518,3.562692,0.839881,0.0,7.528778,0.0,0.0,0.0,0.0,659.577365,2710721355.196306,13289954.560481,46242.568114,5089748.774314,130471.158607,0.0,0.0,0.0,120.62354,2.240402,0.0,0.0,0
